日光二荒山神社(本社),二荒山大神 (大己貴命、田心姫命、味耜高彦根命の総称),栃木県日光市山内2307,139.5967885,36.7585541
馬場都都古別神社,味耜高彦根命,福島県東白川郡棚倉町大字棚倉字馬場39,140.3759179,37.0320717
八槻都都古別神社,味耜高彦根命,福島県東白川郡棚倉町大字八槻字大宮224,140.3920822,36.9945683
石都々古和気神社,味秬高彦根命 大国主命 誉田別命,福島県石川郡石川町下泉269,140.4531065,37.1437992
気多神社,大己貴命奴奈加波比売命,富山県高岡市伏木一宮1-10-1,137.0457494,36.7988639
高瀬神社,大己貴命,富山県南砺市高瀬291,136.9482561,36.5718849
雄山神社,伊邪那岐神 天手力雄神,富山県中新川郡立山町域内に3社,137.3136968,36.6635222
居多神社,大己貴命,新潟県上越市五智6-1-11,138.2231805,37.1664617
天津神社,天津彦々火瓊々杵尊 天児屋根命 天太玉命,新潟県糸魚川市一の宮1-3-34,137.8643798,37.0399114
粟鹿神社,彦火々出見命 日子坐王 阿米美佐利命,兵庫県朝来市山東町粟鹿2152,134.9021161,35.3061737
熊野大社,熊野大神 櫛御気野命,島根県松江市八雲町熊野2451番,133.0703376,35.3733743
由良比女神社,由良比女命,島根県隠岐郡西ノ島町浦郷922,132.9878563,36.0919489
石上布都魂神社,素盞嗚尊,岡山県赤磐市石上字風呂谷1448,133.9717993,34.8510683
安仁神社,五瀬命,岡山県岡山市東区西大寺一宮895,134.0960406,34.6104642
素盞嗚神社,素盞嗚尊,広島県福山市新市町大字戸手1-1,133.2793456,34.5526827
丹生都比売神社,丹生都比売大神 高野御子大神大食津比売大神市杵島比売大神,和歌山県伊都郡かつらぎ町上天野230,135.5220127,34.2627276
伊太祁曽神社,五十猛命,和歌山県和歌山市伊太祈曽558,135.2499973,34.2020328
上一宮大粟神社,大宜都比売命,徳島県名西郡神山町神領字西上角330,134.3671697,33.9710406
一宮神社,大宜都比売命 天石門別八倉比売命,徳島県徳島市一宮町西丁237,134.4626744,34.0378138
大麻比古神社,大麻比古神,徳島県鳴門市大麻町板東字広塚13,134.5025694,34.1709697
柞原八幡宮,仲哀天皇 応神天皇 神功皇后,大分県大分市大字八幡987,131.5510111,33.238345
千栗八幡宮,応神天皇 仲哀天皇 神功皇后,佐賀県三養基郡みやき町大字白壁字千栗,130.4773743,33.3305182
枚聞神社,大日孁貴命,鹿児島県指宿市開聞十町1366,130.539959,31.2079703
興神社,足仲彦命 息長足姫命,長崎県壱岐市芦辺町湯岳興触676,129.731742,33.7697712
厳原八幡宮,応神天皇 神功皇后 仲哀天皇 姫大神 武内宿禰,長崎県対馬市厳原町中村字清水山645-1,129.2902791,34.2067564
